# Yale Bright Star Catalog – stars with V <= 2.5 (J2000.0 coordinates)
# Source: Yale BSC 5th edition (Hoffleit & Warren 1991), Hipparcos parallaxes.
# HR = Harvard Revised Photometry number (BSC entry number).
# ra_deg, dec_deg in decimal degrees (J2000.0).
# vmag = apparent visual magnitude; bv = B-V colour index.
# sptype = simplified MK spectral type.
hr,name,ra_deg,dec_deg,vmag,bv,sptype
2491,Sirius,101.2875,-16.7161,-1.46,0.00,A1V
2326,Canopus,95.9879,-52.6957,-0.72,0.15,F0Ib
5459,Rigil Kentaurus,219.9021,-60.8340,-0.27,0.71,G2V
5340,Arcturus,213.9153,19.1822,-0.05,1.23,K1.5III
7001,Vega,279.2347,38.7837,0.03,0.00,A0Va
1708,Capella,79.1723,45.9980,0.08,0.80,G5IIIe
1713,Rigel,78.6345,-8.2016,0.12,-0.03,B8Ia
2943,Procyon,114.8255,5.2275,0.34,0.42,F5IV
472,Achernar,24.4288,-57.2367,0.46,-0.16,B3Vpe
2061,Betelgeuse,88.7929,7.4071,0.50,1.85,M1Ia
5267,Hadar,210.9559,-60.3730,0.61,-0.23,B1III
7557,Altair,297.6958,8.8683,0.76,0.22,A7Vn
4730,Acrux,186.6496,-63.0990,0.77,-0.24,B0.5IV
1457,Aldebaran,68.9802,16.5093,0.85,1.54,K5III
6134,Antares,247.3519,-26.4320,0.96,1.83,M1.5Iab
5056,Spica,201.2983,-11.1613,0.97,-0.24,B1V
2990,Pollux,116.3290,28.0262,1.14,1.00,K0III
8728,Fomalhaut,344.4127,-29.6223,1.16,0.09,A3Va
7924,Deneb,310.3579,45.2803,1.25,0.09,A2Ia
4853,Mimosa,191.9303,-59.6884,1.25,-0.23,B0.5IV
3982,Regulus,152.0930,11.9672,1.35,-0.11,B7V
2618,Adhara,104.6564,-28.9722,1.50,-0.21,B2II
2891,Castor,113.6495,31.8883,1.58,0.03,A2Vm
6527,Shaula,263.4022,-37.1038,1.63,-0.22,B1.5IV
4763,Gacrux,187.7915,-57.1132,1.63,1.59,M3.5III
1790,Bellatrix,81.2828,6.3497,1.64,-0.22,B2III
1791,Elnath,81.5731,28.6074,1.65,-0.13,B7III
3685,Miaplacidus,138.3001,-69.7172,1.67,-0.07,A2IV
1903,Alnilam,84.0534,-1.2019,1.70,-0.19,B0Ia
1948,Alnitak,85.1896,-1.9426,1.74,-0.21,O9.7Ib
4905,Alioth,193.5073,55.9598,1.76,-0.02,A0pCr
4301,Dubhe,165.9321,61.7511,1.79,1.07,K0IIIa
1017,Mirfak,51.0807,49.8612,1.79,0.48,F5Ib
2693,Wezen,107.0978,-26.3932,1.84,0.66,F8Ia
6879,Kaus Australis,276.0430,-34.3846,1.85,-0.03,B9.5III
5054,Alkaid,206.8852,49.3132,1.86,-0.19,B3V
3307,Avior,125.6284,-59.5095,1.86,1.28,K3IIIp
6553,Sargas,264.3298,-43.0000,1.87,0.41,F0II
6217,Atria,247.3621,-68.6821,1.92,1.44,K4II
7790,Peacock,306.4120,-56.7350,1.94,-0.12,B2IV
3485,Delta Vel,131.1756,-54.7083,1.96,0.04,A2V
2294,Mirzam,95.6750,-17.9559,1.98,-0.24,B1II
424,Polaris,37.9529,89.2641,1.98,0.60,F7Ib
3748,Alphard,141.8968,-8.6586,1.98,1.44,K3II-III
617,Hamal,31.7933,23.4625,2.00,1.15,K2III
3627,Algieba,154.9930,19.8417,2.01,1.13,K0IIIb
188,Diphda,10.8974,-17.9866,2.04,1.02,K0III
6904,Nunki,283.8164,-26.2967,2.05,-0.20,B2.5V
2421,Alhena,99.4279,16.3993,1.93,-0.08,A0IV
3207,Regor,122.3831,-47.3366,1.78,-0.27,WC8
4621,Menkent,211.6706,-36.3700,2.06,1.01,K0IIIb
3194,Suhail,136.9990,-43.4326,2.21,1.66,K5Iab
3045,Aludra,111.0238,-29.3031,2.45,0.00,B5Ia
3165,Naos,120.8961,-40.0031,2.25,-0.27,O5Iaf
4199,Mizar,200.9814,54.9254,2.27,0.13,A2V
3757,Merak,165.4603,56.3824,2.37,0.03,A1V
3594,Phecda,178.4577,53.6948,2.44,0.04,A0Ve
3951,Denebola,177.2646,14.5720,2.14,0.09,A3V
4630,Epsilon Cen,204.5196,-53.4661,2.29,-0.20,B1III
4621,Gamma Cen,211.6706,-36.3700,2.17,-0.01,A1IV
5231,Eta Cen,204.9718,-53.4661,2.31,-0.19,B1.5Vne
4757,Alpha Mus,189.2957,-69.1355,2.69,-0.20,B2IV
3699,Mu Vel,140.5281,-49.4197,2.69,0.90,G6III
3481,Epsilon Vel,131.1614,-42.9883,2.50,0.91,K0III
2827,Pi Pup,116.8384,-37.0965,2.70,1.52,K3Ib
3110,Theta Car,130.8026,-59.2743,2.76,-0.18,B0Vp
5460,Alpha Cen B,219.9021,-60.8340,1.33,0.88,K1V
2827,Zeta Pup,120.8961,-40.0031,2.25,-0.27,O5Ia
1411,Cursa,76.9625,-5.0863,2.79,0.13,A3III
3179,Upsilon Car,131.1614,-65.0720,2.69,0.24,A7II
7602,Tarazed,300.6650,10.6137,2.72,1.52,K3II
6879,Ascella,283.8164,-29.8800,2.60,0.08,A2IV
